index,frequency,type
CCOc1ccccc1,243,ring
OCCN,739,atom
[C@H](C)C,1218,ionic
c1ccc(OC,427,ring
)c(S,152,atom
(N),7760,atom
(=O)=O),3274,functional_group
c1,6628,ring
C[C@@H](,540,ionic
Oc1ccc2,133,ring
[nH]nc(,36,ionic
/,15806,atom
C=C/,6114,functional_group
c3cnn(CC,8,atom
O)c3,266,atom
)c2c1,339,ring
)c1,10595,ring
c(Cl)c,203,atom
ncc1,145,ring
Cl,2458,atom
O=P,1228,functional_group
(O)(O),917,atom
OCCC,115,atom
c1c[nH]c2ccccc12,271,ionic
CCCC(=O),209,functional_group
O[C@]1,52,ionic
(C(=O),1073,functional_group
COC(C),30,atom
=O),11174,functional_group
CC,3422,atom
[C@H]2[C@@H]3C,434,ionic
[C@H](F)C4,289,ionic
=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C,461,functional_group
[C@@]2,3208,ionic
1C,3677,atom
CCC(=O)N(,591,functional_group
c1ccccc1,10647,ring
)C1,3788,ring
(C,1480,atom
OC),1123,atom
CCN(CC,1062,atom
n2nn,117,atom
n(CC,160,atom
)c2,2993,atom
CC1,2955,ring
CCOc1,490,ring
cc(CC(=O)N,169,functional_group
[C@@H](CC,1566,ionic
(C)C)c2ccccc2,155,atom
N,4437,atom
2CCCCC2,631,atom
)ccc1,323,ring
C(=O)O,4047,functional_group
CC(=O)N,1401,functional_group
C[C@H]1,1903,ionic
CN(,655,atom
c2ccc(N3CCOCC3,191,atom
)c(F)c2,334,atom
)C(=O)O1,381,functional_group
NCCCC,159,atom
CCCN,1085,atom
C(N,1567,atom
)N,1684,atom
O=,2918,functional_group
S,4820,atom
(CC(O),17,atom
=N,6424,functional_group
C/,792,atom
C=C,7824,functional_group
\,1834,atom
COc1cc(CN,53,ring
)cc,289,atom
n1)C,18,ring
c1ccc,55,ring
o,2838,atom
1,17013,atom
O,6541,atom
=CC,402,functional_group
[C@@H](O)[C@H](O),1225,ionic
[C@H](O)CO,705,ionic
CN1,2043,atom
CCN2,478,atom
c3n,624,atom
cccc3C,268,atom
c3ccccc3C2,219,atom
C1,2833,ring
Cc1[nH]c2ccccc2c1,122,ionic
CCN,1769,atom
Cc1ccc(,3046,ring
/C,3718,atom
(O),13066,atom
O)cc1,1780,ring
Cn1c(CN,12,ring
c2ccc(C,1056,atom
(=N)N,750,functional_group
)cc2,1675,atom
)nc2,379,atom
cc(C(=O)N,600,functional_group
(CCC(=O)O),259,functional_group
c3ccccn3),12,atom
ccc2,632,atom
NN,338,atom
CCc1ccccc1,602,ring
O=C,7745,functional_group
c1cc(,986,ring
-,23249,atom
c2ccc(F)cc2F),96,atom
ccc1O,172,ring
CN(C)CCCN1,749,atom
c2ccccc2S,466,atom
c2ccc(Cl)cc2,1036,atom
CCOC(=O),670,functional_group
C(,335,atom
c1c(O),351,ring
c2ccccc2,7282,atom
oc1,1278,ring
=O,5848,functional_group
Oc1,834,ring
c(Cl)cc(Cl,58,atom
)c(Cl)c1,229,ring
Cc1c(O),619,ring
)c1Cl,70,ring
Br,940,atom
c(N,1033,atom
C2=N,521,functional_group
2),1993,atom
nccn,340,atom
c12,1085,ring
CN(C)CCC,863,atom
=C1,1450,functional_group
CCc2ccccc2,943,atom
COc1cccc(,393,ring
[C@@]2(O),262,ionic
CCCC,3853,atom
[C@@H]2,4727,ionic
CN(C)C,1199,atom
C=CCn1,22,functional_group
c,8263,atom
(=O),9975,functional_group
c2[nH],727,ionic
c(C,1002,atom
c3ccc(NC,15,atom
(C),10163,atom
=O)cc3,103,functional_group
)n,1869,atom
c2n,2043,atom
(CCCC,154,atom
Cc1cccc(N,280,ring
c2ccncc2,365,atom
S(=O)(=O)NC(=O)N,875,functional_group
C(C)C,806,atom
CCO,1213,atom
CC(C),1719,atom
[N+]1(C),275,ionic
[C@H]2CC,801,ionic
[C@@H]1C,2299,ionic
[C@H](OC(=O),699,functional_group
C(CO),281,atom
)C2,1391,atom
CC[C@@]1(O),165,ionic
C(=O)OC,871,functional_group
c2c1,1389,ring
cc1,2602,ring
n(c2,165,atom
Cc2,574,atom
n,641,atom
c1ccc(O)cc1,1580,ring
c2,2294,atom
[Si](C)(C)C(C)(C)C,8,ionic
COc1,732,ring
cc,392,atom
n(C)c2,27,atom
c3c(,634,atom
ccc1,475,ring
OCO,1659,atom
3,6512,atom
I,1057,atom
c1cn,276,ring
[nH],2465,ionic
CC(C(=O)O),422,functional_group
c1ccc(,4454,ring
)c(F)c1,166,ring
Cn1,1470,ring
cc(C(=O),244,functional_group
[C@@H]2CC,1443,ionic
c3[nH]cnc3,124,ionic
C2,1446,atom
)c2ccccc2,1246,atom
COc1cc(Cc2cnc(N)nc2N,117,ring
)cc(OC)c1OC,179,ring
CN(C),1087,atom
CCCC1,1136,ring
(,5351,atom
c2ccc(F)cc2),683,atom
OC,4232,atom
cc(C#N,465,atom
)ccc2,1008,atom
nc1,266,ring
cc3,904,atom
c(cc1,1098,ring
CCN(C)CC1,60,ring
),5869,atom
OCCO3,25,atom
Cc1nc2,732,ring
c([nH],255,ionic
1),2004,atom
CCN(C(=O),1312,functional_group
c1ccc(NC(=O),258,functional_group
c3ccccc3,2857,atom
)cc1),239,ring
2,10025,atom
CC(O),1478,atom
S(=O)(=O),1497,functional_group
Cl)cc1,142,ring
CN1CCC,447,atom
[C@@H]1CC,1072,ionic
n1cc(C,77,ring
2=C(,86,functional_group
c3c[nH]c4ccccc34,44,ionic
)C(=O)N,1209,functional_group
C2=O),493,functional_group
C[N+]1,111,ionic
(CC(=O),110,functional_group
c2ccc(,2040,atom
)cc2),303,atom
[C@H](CO),917,ionic
C[C@@H]1C,528,ionic
[C@H](O,209,ionic
[C@@H]2O,517,ionic
[C@H](C)[C@@H](O),223,ionic
[C@H](N,2202,ionic
)[C@@H]2,146,ionic
O)C,928,atom
[C@](O)(C,313,ionic
[C@@H](O)C,1319,ionic
[C@H]3,2211,ionic
O[C@@H]3,236,ionic
1)C,395,atom
[C@H](O)[C@H]2,125,ionic
CNc1nc(,8,ring
c2cccc(NC(=O),14,functional_group
c3ccc(C,1051,atom
(=O)OC,109,functional_group
)cc3,1388,atom
cc(OC)c(OC)cc2,60,atom
n1,3346,ring
c2cccs2,205,atom
)CC1,4850,ring
(C)CCC,301,atom
(OC(=O)C,111,functional_group
(c2ccccc2,3149,atom
2)C1,642,ring
c1ncnc2,324,ring
CN(C,709,atom
c1cc2ccccc2,79,ring
n1C,54,ring
